date,temp_max,temp_min,precipitation,wind_max,humidity_max,cloudcover,city,lat,lon
2018-10-14,29.1,25.6,0.8,14.8,93,34,Miami,25.7617,-80.1918
2018-10-15,29.8,26.7,0.7,24.6,81,15,Miami,25.7617,-80.1918
2018-10-16,29.5,27.0,2.3,25.8,85,21,Miami,25.7617,-80.1918
2018-10-17,29.7,25.5,2.6,20.9,92,25,Miami,25.7617,-80.1918
2018-10-18,29.8,26.0,0.8,21.5,86,17,Miami,25.7617,-80.1918
2018-10-19,29.5,24.8,1.5,16.8,86,13,Miami,25.7617,-80.1918
2018-10-20,29.8,22.4,1.8,10.9,94,18,Miami,25.7617,-80.1918
2018-10-21,31.2,23.2,1.0,24.1,91,34,Miami,25.7617,-80.1918
2018-10-22,27.9,25.0,2.3,23.7,78,66,Miami,25.7617,-80.1918
2018-10-23,29.0,25.0,0.4,14.1,75,87,Miami,25.7617,-80.1918
2018-10-24,30.1,22.3,0.9,16.9,90,62,Miami,25.7617,-80.1918
2018-10-25,28.9,21.6,0.7,10.0,90,46,Miami,25.7617,-80.1918
2018-10-26,31.0,23.2,0.7,21.1,93,35,Miami,25.7617,-80.1918
2018-10-27,29.4,23.9,0.9,15.0,90,35,Miami,25.7617,-80.1918
2018-10-28,26.4,19.0,0.0,26.7,77,32,Miami,25.7617,-80.1918
2018-10-29,27.0,17.8,0.0,22.6,77,1,Miami,25.7617,-80.1918
2018-10-30,28.4,18.5,0.1,25.7,83,19,Miami,25.7617,-80.1918
2018-10-31,28.4,23.9,0.0,24.2,64,35,Miami,25.7617,-80.1918
2018-11-01,28.0,24.9,1.4,22.6,73,58,Miami,25.7617,-80.1918
2018-11-02,28.1,23.5,4.7,26.2,94,64,Miami,25.7617,-80.1918
2018-11-03,26.0,21.9,5.6,19.0,95,94,Miami,25.7617,-80.1918
2018-11-04,27.6,24.2,1.7,20.9,92,89,Miami,25.7617,-80.1918
2018-11-05,27.9,24.6,0.6,17.3,82,44,Miami,25.7617,-80.1918
2018-11-06,28.0,24.8,0.7,13.3,86,81,Miami,25.7617,-80.1918
2018-11-07,28.5,23.0,1.1,18.4,91,31,Miami,25.7617,-80.1918
2018-11-08,28.4,22.5,1.1,14.1,92,38,Miami,25.7617,-80.1918
2018-11-09,28.3,24.7,0.8,12.2,88,25,Miami,25.7617,-80.1918
2018-11-10,29.0,21.6,2.2,13.4,98,29,Miami,25.7617,-80.1918
2018-11-11,27.9,23.7,1.7,21.1,93,34,Miami,25.7617,-80.1918
2018-11-12,29.1,24.9,3.3,20.9,90,38,Miami,25.7617,-80.1918
2018-11-13,28.2,23.8,4.5,17.4,95,39,Miami,25.7617,-80.1918
2018-11-14,29.0,23.6,1.0,16.9,96,21,Miami,25.7617,-80.1918
2018-11-15,28.4,21.5,1.8,20.3,91,66,Miami,25.7617,-80.1918
2018-11-16,24.5,16.9,1.5,22.6,86,84,Miami,25.7617,-80.1918
2018-11-17,24.7,18.1,0.5,22.4,82,93,Miami,25.7617,-80.1918
2018-11-18,27.5,23.6,0.9,17.7,72,58,Miami,25.7617,-80.1918
2018-11-19,28.1,23.5,0.1,14.0,90,49,Miami,25.7617,-80.1918
2018-11-20,27.3,22.1,2.7,10.5,92,28,Miami,25.7617,-80.1918
2018-11-21,26.8,21.2,2.7,15.7,94,43,Miami,25.7617,-80.1918
2018-11-22,26.1,20.7,2.4,16.8,94,94,Miami,25.7617,-80.1918
2018-11-23,25.2,19.8,1.8,14.8,97,33,Miami,25.7617,-80.1918
2018-11-24,28.4,19.2,0.3,21.6,94,60,Miami,25.7617,-80.1918
2018-11-25,27.5,20.8,0.4,12.0,97,87,Miami,25.7617,-80.1918
